Weight_Threshold_Pct,TP,FP,TN,FN,Precision,Recall,F1_Score,FPR,FNR,FN_Reduction_vs_B2,McNemar_p,Significant_p_lt_0.05
5%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
10%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
15%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
20%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
25%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
30%,85,0,105,10,1.0,0.8947,0.9444,0.0,0.1053,81.8%,5.4122e-11,YES
